id,title,job_class,dormancy_status,num_subscribers,dormancy_score,RPS,full_price
3062102,Earning While Sleeping - 10 Amazing Passive Income Methods,JC-2 Standard,Low Engagement,22224,10,0.7614,6400.0
3200880,Learn 4 Steps to Make Money Online with Affiliate Marketing!,JC-2 Standard,Low Engagement,14389,10,0.7221,8640.0
2717236,Blogger for beginners : unlimited Organic Free Traffic,JC-2 Standard,Low Engagement,12404,10,0.7122,1920.0
2557628,"How to Close Deals, Sales Closing Techniques",JC-2 Standard,Low Engagement,12340,10,0.7119,1600.0
2869214,YouTube Sponsorship: Get Sponsored With ZERO Subscribers,JC-2 Standard,Low Engagement,12126,10,0.7108,1600.0
2930332,Build Zero-Cost Affiliate Marketing Websites that Convert!,JC-2 Standard,Low Engagement,11803,10,0.7092,2560.0
3417826,Learn 23 Ways to Make Money Online with Your Smartphone!,JC-3 Basic,Low Engagement,9934,10,0.6998,8640.0
2671560,"How to create a Self Personal  Brand, complete simple steps",JC-3 Basic,Low Engagement,7855,10,0.6894,8640.0
3199916,Market Research Test For Business Analysts (BAs),JC-3 Basic,Low Engagement,7823,10,0.6892,1280.0
2409968,The HR professional’s guide to cybersecurity,JC-3 Basic,Low Engagement,7739,10,0.6888,1280.0
2877282,Earn Passive Income: Create & Sell Planners on Etsy,JC-3 Basic,Low Engagement,7580,10,0.688,6400.0
3222065,The Ultimate Startup Quiz for Entrepreneurs,JC-3 Basic,Low Engagement,7442,10,0.6873,1280.0
2664462,Cost Accounting and Artificial Intelligence Tools: Part 1,JC-3 Basic,Low Engagement,6671,10,0.6834,1280.0
2564266,Passive Income Masterclass:,JC-3 Basic,Low Engagement,5811,10,0.6791,1600.0
2899630,Analyzing Forex Without Indicators (Beginner to Advanced),JC-3 Basic,Low Engagement,5539,10,0.6778,8640.0
2675338,How to Create Passive Income,JC-3 Basic,Low Engagement,5286,10,0.6765,1280.0
3110348,"Menu Engineering - Calculations, Strategies & Interpretation",JC-3 Basic,Low Engagement,4906,10,0.6746,3200.0
2486824,Design Thinking & Neuromarketing - Complete BootCamp,JC-3 Basic,Low Engagement,4805,10,0.6741,8320.0
2820053,Digital Strategy Success,JC-3 Basic,Low Engagement,4507,10,0.6726,2560.0
2915640,How To Start An Affiliate Marketing & Dropshipping Business,JC-3 Basic,Low Engagement,4330,10,0.6717,5760.0
2631882,Swing Trading,JC-3 Basic,Low Engagement,4218,10,0.6711,6400.0
2904302,Management and Entrepreneurship,JC-3 Basic,Low Engagement,4114,10,0.6706,1280.0
2852730,How to unlock your team's potential,JC-3 Basic,Low Engagement,3848,10,0.6693,1600.0
3022980,IASSC Lean Six Sigma Green Belt | 2020 Exam,JC-3 Basic,Low Engagement,3575,10,0.6679,1600.0
2569068,Competitor Analysis - Research Rivals and Influence Markets,JC-3 Basic,Low Engagement,2917,10,0.6646,8640.0
2887306,AgilePM® Project Management Foundation Practice Exam,JC-2 Standard,Low Engagement,12630,20,0.6633,1280.0
2719450,Financial analysis using ratios,JC-3 Basic,Low Engagement,2553,10,0.6628,1280.0
2630022,Accounts Receivable in SAP,JC-3 Basic,Low Engagement,2561,10,0.6628,1280.0
2581756,Supply Chain Management in a VUCA World,JC-3 Basic,Low Engagement,2106,10,0.6606,1280.0
2630068,SAP CO (Controlling) Training,JC-3 Basic,Low Engagement,1696,10,0.6585,1280.0
2844536,ICBB IASSC Certified Lean SixSigma Black Belt | 2020 Exam,JC-3 Basic,Low Engagement,1211,10,0.6561,1920.0
2755538,"4 PMP Exam 2020, PMBOK 6th Edition, 800 Questions & Answers",JC-3 Basic,Low Engagement,1208,10,0.6561,4160.0
2572382,Cost Estimation - Advanced course,JC-3 Basic,Low Engagement,807,10,0.654,3520.0
3164118,PMP Exam Simulator 2020 - PMBOK 6th Ed.,JC-3 Basic,Low Engagement,748,10,0.6537,4160.0
2008356,Binary Options Trading : Using Heikin Ashi Trading Indicator,JC-3 Basic,Low Engagement,613,10,0.6531,6400.0
2555059,Cost Estimation - Basic course,JC-3 Basic,Low Engagement,555,10,0.6528,2880.0
2922326,MINIMALISMO PARA LAS FINANZAS ?,JC-3 Basic,Low Engagement,406,10,0.652,1280.0
3190212,我如何不寫程式開發產品創造被動收入,JC-3 Basic,Low Engagement,408,10,0.652,1280.0
2783854,Scrum Product Owner (PSPO I)  2020 | Practice Exam | Test,JC-3 Basic,Low Engagement,336,10,0.6517,3840.0
2102826,PMP PMBOK 6th edition exam simulator >400 questions 2020,JC-3 Basic,Low Engagement,345,10,0.6517,1280.0
2571614,"Practice the PMP Exam: 400 High-Quality Questions, 2019",JC-3 Basic,Low Engagement,310,10,0.6516,3520.0
2914064,CMA (USA) PART 2 - Practice Exam - 2020 Version - 600 MCQs,JC-3 Basic,Low Engagement,329,10,0.6516,6400.0
2645330,CIA Part1 Practice Test 2020,JC-3 Basic,Low Engagement,293,10,0.6515,6400.0
2702812,Scrum with Kanban PSK-I™ Certification 2019,JC-3 Basic,Low Engagement,274,10,0.6514,1280.0
2582872,CMA Part1 Practice Test 2020.,JC-3 Basic,Low Engagement,289,10,0.6514,6400.0
2748906,Strategic Program Management,JC-3 Basic,Low Engagement,265,10,0.6513,2560.0
3194810,Practice Test : ISO 9001 2015 Quality Management System,JC-3 Basic,Low Engagement,231,10,0.6512,1280.0
2630330,Level 4 Diploma - Defining Business Needs (L4M2),JC-3 Basic,Low Engagement,230,10,0.6512,1280.0
2926552,Not for Profit QuickBooks Desktop vs QuickBooks Online,JC-3 Basic,Low Engagement,5198,15,0.6511,8640.0
2594342,IIBA ECBA Proficiency-based Mock test 2020,JC-3 Basic,Low Engagement,193,10,0.651,1280.0
2755782,Level 4 Diploma - Commercial Contracting (L4M3),JC-3 Basic,Low Engagement,170,10,0.6509,1280.0
2587190,Professional in Business Analysis PMI-PBA Exam Simulation 1,JC-3 Basic,Low Engagement,181,10,0.6509,6400.0
2892636,Xero Not for Profit Organization,JC-3 Basic,Low Engagement,5173,15,0.6509,8640.0
2844718,2020 Part1 CIA Exam- Essentials of Internal Auditing,JC-3 Basic,Low Engagement,151,10,0.6508,6400.0
2559938,Operando Opções - Método Descomplicado,JC-3 Basic,Low Engagement,150,10,0.6508,2560.0
2567584,"Practice the IIBA CBAP Exam: 240 Quality Questions, 2020",JC-3 Basic,Low Engagement,149,10,0.6507,3520.0
3404476,Advanced PMI - RMP Real Practice exams,JC-3 Basic,Low Engagement,147,10,0.6507,8640.0
3241522,SHRM-CP / SHRM-SCP Certification Practice Exam,JC-3 Basic,Low Engagement,146,10,0.6507,1280.0
2600926,CMA Part2 Practice Test 2020.,JC-3 Basic,Low Engagement,147,10,0.6507,6400.0
2674090,CIA Part2 Practice Test 2020,JC-3 Basic,Low Engagement,136,10,0.6507,6400.0
2786922,Level 4 Diploma - Ethical & Responsible Sourcing (L4M4),JC-3 Basic,Low Engagement,121,10,0.6506,1280.0
2762778,PMI® PMP PMBOK6 Practice Exams: Set One for PMP Candidates,JC-3 Basic,Low Engagement,118,10,0.6506,3200.0
2788418,Introduction to diplomatic protocol and etiquette,JC-3 Basic,Low Engagement,91,10,0.6505,8640.0
2848212,ISO 22000:2018 Food Safety Management Systems (FSMS),JC-3 Basic,Low Engagement,95,10,0.6505,8640.0
2796382,Masterclass in AS9100 D Aerospace Quality management System,JC-3 Basic,Low Engagement,96,10,0.6505,8640.0
2848414,How to Work as a Translation Project Manager,JC-3 Basic,Low Engagement,99,10,0.6505,1280.0
2965430,Mastering ISO/IEC 17025: 2017 and Certified Internal Auditor,JC-3 Basic,Low Engagement,92,10,0.6505,3520.0
3358870,Sales Skills | Close More Deals & Increase Sales,JC-3 Basic,Low Engagement,92,10,0.6505,8640.0
2121146,How to Start a Profitable Tutoring Business: Online tutoring,JC-3 Basic,Low Engagement,95,10,0.6505,2240.0
2663172,Sales Psychology (Outer World Part 1) Jordan Belfort,JC-3 Basic,Low Engagement,93,10,0.6505,8640.0
2696586,PowerBI Zero to Hero - Introduction to PowerBI Desktop,JC-3 Basic,Low Engagement,99,10,0.6505,1920.0
2974290,"""Marketing Therapy."" Grow Your Complementary Health Business",JC-3 Basic,Low Engagement,95,10,0.6505,7360.0
3313824,Applying The Art and Science of Sales Enablement,JC-3 Basic,Low Engagement,99,10,0.6505,6400.0
3306872,How to Use Zoom like a Pro in 2020 (and Look Good Doing It!),JC-3 Basic,Low Engagement,91,10,0.6505,6080.0
2719460,Deltek Acumen Fuse - Step by Step,JC-3 Basic,Low Engagement,97,10,0.6505,8640.0
2800748,HubSpot Workflows-How to Create  & Manage HubSpot Workflows,JC-3 Basic,Low Engagement,98,10,0.6505,1280.0
1401468,Professional Freelance Travel Journalist Course,JC-3 Basic,Low Engagement,92,10,0.6505,8640.0
2134886,Business process mapping / modelling - the complete course!,JC-3 Basic,Low Engagement,93,10,0.6505,1600.0
3008770,Hands-On Transcription Practice Series - Course A,JC-3 Basic,Low Engagement,97,10,0.6505,3840.0
2781410,Business App Development in Dynamics 365 for Non-Programmers,JC-3 Basic,Low Engagement,91,10,0.6505,8000.0
3214521,XGBoost Machine Learning for Data Science and Kaggle,JC-3 Basic,Low Engagement,94,10,0.6505,6400.0
2880906,7 Amazon Product Launch Secrets Gurus Don't Want You To Know,JC-3 Basic,Low Engagement,92,10,0.6505,3200.0
3141978,Program Management Professional (PgMP) Exam Prep Course,JC-3 Basic,Low Engagement,90,10,0.6505,8640.0
2552723,Generate Passive Income by 4 Option Selling Strategy,JC-3 Basic,Low Engagement,90,10,0.6505,8000.0
2688968,Create a 3-Statement Budget Model in Excel,JC-3 Basic,Low Engagement,95,10,0.6505,7680.0
2583948,Algorithmic Trading With TradeStation,JC-3 Basic,Low Engagement,90,10,0.6505,8640.0
2728816,Futures Trading For Beginners: Stock/Forex/Commodity/Crypto,JC-3 Basic,Low Engagement,94,10,0.6505,8640.0
2523514,Trading Psychology: Think Like A Trader And Make More Money,JC-3 Basic,Low Engagement,94,10,0.6505,8320.0
2826409,Undervalued Stocks Investing - Beginners Guide,JC-3 Basic,Low Engagement,91,10,0.6505,1920.0
2754542,Certified Fraud Examiner(CFE) Practice Test 2020.,JC-3 Basic,Low Engagement,101,10,0.6505,6400.0
3369594,Learn TradingView Pine Script Programming From Scratch,JC-3 Basic,Low Engagement,96,10,0.6505,6400.0
3001950,The Actuarial Science Collection,JC-3 Basic,Low Engagement,94,10,0.6505,1920.0
3095996,Formação de Auditores Internos – Módulo I,JC-3 Basic,Low Engagement,97,10,0.6505,4480.0
3089798,START: Primeiro investimento e finanças pessoais,JC-3 Basic,Low Engagement,98,10,0.6505,2560.0
2635480,Chartanalyse- Werde zum Trader,JC-3 Basic,Low Engagement,96,10,0.6505,8640.0
3182618,CPA 20 ANBIMA Completo - Trabalhe no Mercado Financeiro.,JC-3 Basic,Low Engagement,99,10,0.6505,8640.0
2633696,COMO MONTAR UMA CARTEIRA DE AÇÕES,JC-3 Basic,Low Engagement,97,10,0.6505,2560.0
867498,▷ Trading de Alta Probabilidad: 【Forex y Bolsa de NY】,JC-3 Basic,Low Engagement,91,10,0.6505,3200.0
2730188,GMP for Food Safety (Foundational course for ISO 22000),JC-3 Basic,Low Engagement,82,10,0.6504,8320.0
2169886,Professional Email Writing - A NEW ACTIVITY-BASED TRAINING,JC-3 Basic,Low Engagement,77,10,0.6504,1280.0
